Date,Open,High,Low,Close,Adj Close,Volume
2021-04-12,111600.000000,111600.000000,111600.000000,111600.000000,111547.890625,0
2021-04-13,111600.000000,111600.000000,111600.000000,111600.000000,111547.890625,0
2021-04-14,111600.000000,111600.000000,111600.000000,111600.000000,111547.890625,0
2021-04-15,120500.000000,132500.000000,118000.000000,120500.000000,120443.734375,17115015
2021-04-16,115500.000000,120500.000000,115500.000000,119000.000000,118944.437500,13709555
2021-04-19,120000.000000,122000.000000,117500.000000,119000.000000,118944.437500,5441693
2021-04-20,119000.000000,121000.000000,118000.000000,119500.000000,119444.203125,2952174
2021-04-21,119500.000000,119500.000000,117000.000000,118000.000000,117944.898438,4461636
2021-04-22,118000.000000,119500.000000,117500.000000,117500.000000,117445.132813,2279180
2021-04-23,116500.000000,118500.000000,114500.000000,117500.000000,117445.132813,2473720
2021-04-26,118000.000000,118000.000000,117500.000000,118000.000000,117944.898438,1729458
2021-04-27,118500.000000,124500.000000,118500.000000,121500.000000,121443.265625,5332544
2021-04-28,121500.000000,122000.000000,119000.000000,119500.000000,119444.203125,2276272
2021-04-29,120000.000000,120500.000000,115500.000000,117000.000000,116945.367188,3445462
2021-04-30,117000.000000,117000.000000,113000.000000,113500.000000,113447.000000,4405688
2021-05-03,112500.000000,116000.000000,110000.000000,114500.000000,114446.531250,2832622
2021-05-04,113500.000000,116000.000000,112000.000000,115500.000000,115446.070313,2228466
2021-05-06,115000.000000,117500.000000,113500.000000,115000.000000,114946.304688,3234424
2021-05-07,115500.000000,117000.000000,114000.000000,114500.000000,114446.531250,2040844
2021-05-10,115500.000000,116500.000000,114500.000000,116000.000000,115945.835938,1898994
2021-05-11,115000.000000,117000.000000,114500.000000,114500.000000,114446.531250,1875600
2021-05-12,115000.000000,115500.000000,112000.000000,113000.000000,112947.234375,2558482
